tic__tess_id,tic__ra,tic__dec,tic__Tmag,bjd0,period,morph_coeff,
0161570793, 74.441335, -42.893502, 10.29, 1438.120242, 0.2762364, 0.753,
0116484192, 233.020086, 45.568730, 11.88, 1929.580085, 0.2764742, 0.788,
0094637805, 177.787916, -51.875699, 7.74, 1570.788421, 0.2768891, 0.786,
0418998975, 345.099593, 41.124679, 7.85, 1738.939658, 0.2769786, 0.928,
0105802318, 156.716102, -36.714346, 11.45, 1544.615661, 0.2781131, 0.876,
1981621672, 309.340104, 75.600525, 6.66, 1764.910249, 0.2783084, 0.824,
0161665775, 226.385480, 46.443814, 9.65, 1738.814809, 0.2783256, 0.959,
0303833577, 308.988261, 49.011795, 10.19, 1711.453081, 0.2785120, 0.784,
0280033934, 297.589467, 70.287651, 10.52, 1683.502263, 0.2787725, 0.761,
0280033918, 297.616800, 70.305272, 9.46, 1683.501992, 0.2787728, 0.799,
0405533713, 202.443160, -32.333868, 9.23, 1600.252557, 0.2799592, 0.763,
0146539195, 77.113742, -21.028984, 11.62, 1438.109869, 0.2801374, 0.736,
0434106760, 354.529607, -13.733088, 11.20, 1354.595810, 0.2806312, 0.769,
0121009628, 55.561372, -20.146082, 11.49, 1411.102496, 0.2820421, 0.721,
0277104322, 84.234836, -67.001827, 11.88, 1411.103663, 0.2821634, 0.926,
0166319733, 206.680579, -37.766783, 11.95, 1599.998908, 0.2822073, 0.719,
0417118871, 198.962010, 43.885666, 11.72, 1738.953741, 0.2822315, 0.785,
0159939533, 240.341522, 48.493887, 11.99, 1956.077819, 0.2822546, 0.777,
0374828411, 54.996046, 3.241692, 10.85, 1438.349475, 0.2828824, 0.727,
0212377300, 26.855553, -17.066512, 11.21, 1386.124538, 0.2830396, 0.842,
0159202185, 201.511150, 27.583932, 10.96, 1930.554385, 0.2835585, 0.548,
0394596952, 348.754730, -63.573492, 8.89, 1326.374633, 0.2838156, 0.923,
0159444225, 290.513911, 43.009781, 11.18, 1683.595788, 0.2839962, 0.697,
0263078276, 17.803359, -79.177274, 11.66, 1325.350539, 0.2840349, 0.711,
0201796819, 35.403642, -55.976820, 11.06, 1354.285700, 0.2853729, 0.906,
0179244391, 79.635606, -68.225772, 10.34, 1411.032592, 0.2854639, 0.733,
0290410988, 235.807652, -86.802007, 10.79, 1625.046811, 0.2858823, 0.737,
0123201494, 280.902446, 42.935681, 11.86, 1683.422597, 0.2868434, 0.560,
0103656297, 152.677882, 67.658806, 9.76, 1684.155993, 0.2877918, 0.905,
0230061567, 229.289015, 69.104017, 10.66, 1901.928143, 0.2879800, 0.989,
0167338355, 98.345558, -70.124828, 12.69, 1544.668605, 0.2883619, 0.748,
0253781040, 282.605130, -37.803907, 12.06, 1655.859797, 0.2887024, 0.944,
0369639876, 10.219112, -51.380275, 10.71, 1354.435929, 0.2894613, 0.760,
0411712609, 219.085067, -55.258161, 9.86, 1598.242488, 0.2902786, 0.969,
0016617827, 307.771882, 38.783478, 10.86, 1711.631106, 0.2906367, 0.720,
0069559020, 294.667100, 30.507855, 12.62, 1683.450948, 0.2908637, 0.633,
0116520408, 234.143995, 46.635890, 11.51, 1929.559283, 0.2908731, 0.783,
0200645730, 320.639584, -46.460585, 10.75, 1325.651062, 0.2917217, 0.806,
0124369049, 256.130817, -46.812753, 9.64, 1628.007102, 0.2917354, 0.759,
0402107145, 182.336723, -27.982195, 8.14, 1571.133770, 0.2923328, 0.721,
0129810365, 54.255976, -41.527661, 8.89, 1386.071250, 0.2923476, 0.869,
0165458777, 180.151349, -39.259753, 10.18, 1571.011702, 0.2926701, 0.759,
0144282524, 97.988676, 41.565901, 10.76, 1842.372307, 0.2929314, 0.584,
0198410119, 258.966545, 53.990996, 11.06, 1955.925113, 0.2938984, 0.899,
0455064763, 77.215638, 2.821042, 10.79, 1438.234246, 0.2957064, 0.767,
0305675525, 263.021165, -61.950685, 8.25, 1624.989884, 0.2965474, 0.853,
0020212631, 227.038060, 39.970240, 10.06, 1930.006684, 0.2971598, 0.824,
0388129029, 63.710869, -68.236089, 11.65, 1544.509825, 0.2972816, 0.810,
0387513384, 43.007085, 9.510712, 11.68, 1411.079651, 0.2974686, 0.782,
0256775514, 50.777259, 3.067809, 12.05, 1411.218249, 0.2976541, 0.660,
0165982704, 195.725913, 34.991398, 10.22, 1900.328783, 0.2976868, 0.844,
0402130407, 11.640823, -33.516158, 11.90, 1354.334821, 0.2991373, 0.726,
0233574062, 282.155454, 61.869897, 10.41, 1683.585131, 0.2995439, 0.904,
0060657338, 138.037980, -8.347725, 10.62, 1519.523590, 0.2996869, 0.904,
0219843981, 222.532367, 29.649594, 10.34, 1930.563264, 0.3016095, 0.728,
0043398254, 10.668620, -29.943964, 10.57, 1354.237370, 0.3016875, 0.793,
0390021728, 277.793370, 56.417480, 11.54, 1683.603174, 0.3020324, 0.788,
0440459327, 90.539874, 45.690387, 8.11, 1816.966676, 0.3022254, 0.727,
0312160410, 313.278321, 53.079268, 11.92, 1711.604247, 0.3023308, 0.740,
0010467747, 268.039576, 32.130434, 10.10, 2010.457011, 0.3026197, 0.530,
0396954096, 63.889617, 1.766070, 9.79, 1438.234223, 0.3026573, 0.978,
0394452884, 153.762193, -81.204029, 8.77, 1598.452850, 0.3026648, 0.719,
0048318875, 223.300640, -31.629342, 10.42, 1600.050107, 0.3028388, 0.746,
0403136932, 333.767376, -54.278325, 13.63, 1325.548902, 0.3028548, 0.750,
0266816672, 30.936303, -19.889183, 9.79, 1386.044708, 0.3031493, 0.726,
0263035184, 264.489172, -39.189609, 8.26, 1628.023594, 0.3033046, 0.727,
0387513120, 42.980347, 8.416131, 11.34, 1411.134470, 0.3036332, 0.862,
0219244444, 65.273180, -48.651962, 12.63, 1386.142332, 0.3037035, 0.344,
0274039489, 48.717158, 2.102006, 16.84, 1410.940901, 0.3052865, 0.376,
0059038877, 57.365695, 12.912179, 9.12, 1439.006043, 0.3053691, 0.726,
0059038880, 57.364755, 12.908945, 10.10, 1438.090294, 0.3053725, 0.722,
0270288280, 215.416800, -33.907145, 9.28, 1600.085180, 0.3057097, 0.879,
1981434198, 316.121571, 70.764514, 9.00, 1738.798797, 0.3062443, 0.890,
0160196709, 27.598068, -46.974397, 11.52, 1385.999766, 0.3066134, 0.764,
0198313291, 233.688392, 62.278981, 10.09, 1711.508635, 0.3067214, 0.784,
0161262226, 341.204608, -48.170247, 9.95, 1325.377264, 0.3073041, 0.742,
0013068361, 348.140904, -24.266960, 10.19, 1354.351228, 0.3073681, 0.808,
0017562290, 243.744295, 30.276576, 11.64, 1956.039546, 0.3081868, 0.756,
0453095485, 113.869865, -67.687662, 12.08, 1598.298206, 0.3082996, 0.792,
0255993777, 308.232042, 67.282552, 8.62, 1711.479470, 0.3085178, 0.651,
0140493525, 21.209648, -32.689927, 10.78, 1385.904232, 0.3089662, 0.754,
0402319281, 353.545901, -15.516983, 10.31, 1354.023691, 0.3098470, 0.756,
0388179896, 51.897971, -72.848655, 10.02, 1354.240240, 0.3098493, 0.721,
0284891601, 260.508469, 56.628422, 8.55, 1929.803732, 0.3102838, 0.823,
0349294422, 52.062304, 30.021990, 10.68, 1790.834840, 0.3103880, 0.977,
0185259483, 175.108299, -6.102530, 10.92, 1544.164633, 0.3105640, 0.837,
0293619461, 59.713154, -51.175823, 8.72, 1386.001576, 0.3106550, 0.853,
0439458951, 19.273405, -23.238572, 8.60, 1386.151296, 0.3111498, 0.969,
0233904049, 304.745613, 56.605340, 9.42, 1683.648806, 0.3112479, 0.734,
0152507230, 63.576498, -46.449197, 10.83, 1411.185142, 0.3116403, 0.707,
0399577123, 342.499374, -23.273222, 11.27, 1354.598394, 0.3119793, 0.910,
0043533897, 75.396664, -8.643479, 10.65, 1438.000307, 0.3133685, 0.666,
0417052182, 304.211738, 41.961460, 10.44, 1711.511369, 0.3134128, 0.929,
0340704073, 6.205841, -27.738636, 11.88, 1354.150485, 0.3136675, 0.733,
0090836525, 239.257828, -57.905981, 9.52, 1625.008066, 0.3138837, 0.892,
0161083755, 276.570634, -51.626311, 11.03, 1656.322950, 0.3139064, 0.913,
0305674644, 263.008326, -62.367527, 10.19, 1625.110561, 0.3142173, 0.945,
0262434790, 73.495466, 4.020378, 11.70, 1438.174967, 0.3143965, 0.751,
0089239251, 58.200245, -29.436393, 9.25, 1411.003515, 0.3144381, 0.824,
0164524541, 283.385678, 47.435225, 11.49, 1683.737611, 0.3150328, 0.844,
0164883253, 285.094714, 44.666249, 11.48, 1683.475182, 0.3152043, 0.785,
0193770329, 268.162767, 43.824816, 11.90, 1984.012240, 0.3163093, 0.902,
0279481568, 105.529072, -56.117560, 12.30, 1491.768820, 0.3165456, 0.771,
0434515577, 190.062679, -18.800261, 8.46, 1571.106475, 0.3166313, 0.880,
0164775666, 27.225598, -20.892943, 9.94, 1386.247030, 0.3168471, 0.714,
0286031430, 69.977833, 53.079533, 4.12, 1816.442345, 0.3170016, 0.690,
0123625970, 89.218139, -21.781859, 8.54, 1468.315244, 0.3171272, 0.904,
0067707714, 225.195581, 35.131873, 10.89, 1930.667922, 0.3171474, 0.729,
0468293391, 7.116533, 78.961849, 10.03, 1790.834159, 0.3174147, 0.770,
0231048083, 28.951044, -55.072173, 6.54, 1354.437859, 0.3179090, 1.008,
