,KIC,Porb,Class,PACF,hACF,P1min,P1max,P2min,P2max,h1min,h1max,h2min,h2max,Note
1612,9637299,1.882,sp,1.9,1.132,1.864,1.883,2.002,2.006,0.165,0.069,0.021,0.067,
1613,9639265,0.506,ev,,,,,,,,,,,
1614,9639491,0.345,ev,,,,,,,,,,,
1615,9640921,80.706,np,2.922,0.026,,,,,,,,,a
1616,9640985,2.178,np,2.146,0.091,,,,,,,,,a
1617,9641018,2.178,np,5.333,0.013,,,,,,,,,a
1618,9641031,2.178,sp,2.166,1.218,2.156,2.177,,,0.191,0.068,,,
1619,9641255,2.178,np,8.133,0.009,,,,,,,,,a
1620,9642018,0.505,sp,26.686,1.023,25.007,25.554,28.005,,0.072,0.073,0.083,,
1621,9644680,0.586,ev,,,,,,,,,,,
1622,9649222,5.919,sp,6.764,1.442,6.727,6.771,,,0.097,0.313,,,
1623,9649493,0.372,ev,,,,,,,,,,,
1624,9652632,4.978,ev,,,,,,,,,,,
1625,9654476,0.396,ev,,,,,,,,,,,
1626,9655129,2.744,sp,2.738,1.515,2.683,2.691,2.75,2.758,0.06,0.125,0.371,0.12,
1627,9656397,204.74,sp,6.866,0.383,6.555,6.929,,,0.014,0.012,0.008,0.008,
1628,9656543,2.545,sp,2.534,0.811,2.45,2.583,,,0.084,0.086,,,
1629,9657096,2.138,ev,,,,,,,,,,,
1630,9658118,24.06,np,112.896,0.222,,,,,,,,,a
1631,9661869,20.427,np,20.434,0.502,,,,,,,,,a
1632,9662581,0.258,ev,,,,,,,,,,,
1633,9664215,3.319,sp,3.31,1.633,,,,,,,,,
1634,9664382,0.291,ev,,,,,,,,,,,
1635,9665086,0.297,ev,,,,,,,,,,,
1636,9665503,11.568,np,15.959,0.104,,,,,,,,,a
1637,9673173,21.295,ot,,,,,,,,,,,
1638,9674608,2.972,sp,3.024,1.341,3.017,3.052,,,0.151,0.235,,,
1639,9692336,0.688,ev,,,,,,,,,,,
1640,9700181,2.849,ev,,,,,,,,,,,
1641,9703626,0.415,ev,,,,,,,,,,,
1642,9705459,2.487,sp,2.82,1.565,2.79,2.809,,,0.198,0.114,,,
