,TIC,period,morph,RA,DEC
276,310170498,0.3222297,0.857,239.60528,49.4475
277,204327008,0.3232092,0.742,347.098962,-19.703903
278,445133704,0.3239555,0.814,11.127589,54.004231
279,237114978,0.3240331,0.973,269.67157,58.161478
280,159510983,0.3242724,0.782,248.069134,77.90338
281,287174076,0.3247485,0.748,19.049149,-6.993545
282,23559851,0.3248137,0.611,169.268247,-35.150803
283,441734144,0.3254052,0.718,258.55816,76.703975
284,52368472,0.3259718,0.807,24.003699,-66.726572
285,120016,0.3263708,0.849,222.577328,-24.427736
286,412063998,0.3265817,0.763,0.50694,-66.888585
287,159854359,0.3266553,0.752,236.793988,53.036334
288,159854358,0.3266562,0.731,236.789137,53.024046
289,309809572,0.3268057,0.852,225.289957,48.804417
290,153826685,0.326996,0.824,340.698861,45.351448
291,120956236,0.3270847,0.752,53.927905,-20.351932
292,36729364,0.327482,0.892,40.429365,-6.363573
293,369218857,0.3275155,0.746,313.992318,-36.448605
294,265015162,0.3278391,0.951,126.766422,3.514536
295,67808952,0.3279029,0.806,64.555683,-6.259442
296,8245065,0.3280228,0.748,157.36156,39.768995
297,271799672,0.3282683,0.889,111.549213,-75.904728
298,389658055,0.3283473,0.769,321.071888,-44.917583
299,207496306,0.3293302,0.769,246.933974,56.766449
300,440051305,0.3296757,0.757,3.479857,44.384698
301,49735506,0.3300894,0.879,352.690159,-10.586598
302,298559217,0.3301871,0.922,317.706725,27.330405
303,122891349,0.3302671,0.832,278.400363,46.594903
304,178859380,0.3307902,0.746,194.707132,-36.975825
305,346429188,0.3311382,0.534,96.770573,-16.510871
306,374265995,0.3318931,0.718,347.883692,36.893085
307,139703005,0.331924,0.737,66.494198,-21.482551
308,50273697,0.3320699,0.977,30.083675,-74.332587
309,237915523,0.3322736,0.797,56.185557,-61.098256
310,382631664,0.3324723,0.766,118.801651,-60.814621
311,454190342,0.3326118,0.676,78.922552,1.077911
312,173795590,0.3327207,0.812,349.96055,44.125958
313,124205037,0.3327345,0.794,196.990514,-31.01335
314,396953669,0.3327633,0.595,63.889117,3.367808
315,446127290,0.3336468,0.715,145.93946,55.952519
316,1450518,0.3337474,0.65,75.204095,-32.211025
317,243352373,0.3342969,0.783,290.268632,56.32833
318,296449358,0.3351379,0.943,141.401326,-53.251832
319,121134517,0.3351707,0.814,58.000858,-21.930097
320,206609630,0.3352714,0.49,22.551,-59.5832
321,36883123,0.3352718,0.744,43.395041,-9.208017
322,18534775,0.3358641,0.757,266.300386,33.45256
323,260541250,0.3359386,0.815,97.004947,-56.572139
324,175458611,0.336029,0.757,350.809694,-37.515569
325,258773798,0.3364697,0.849,286.177896,66.301988
326,61730680,0.3365551,0.818,289.082374,-44.147457
327,255907472,0.3370433,0.749,247.072069,37.19004
328,157448336,0.337142,0.684,264.855632,36.783157
329,162305237,0.3371859,0.882,169.244596,-44.106226
330,198416591,0.3387332,0.865,260.091198,57.974181
331,219328400,0.3390354,0.802,333.519513,-55.445127
332,34107676,0.34015,0.799,59.559644,-7.75934
333,164776925,0.3407947,0.716,27.390384,-19.624792
334,274088422,0.3414905,0.795,49.496407,2.503213
335,230386284,0.3414933,0.559,285.822,63.9928
336,155968973,0.3418805,0.868,234.8226,43.762576
337,198507944,0.3422844,0.719,197.688186,77.653843
338,284863911,0.3427999,0.887,77.125542,11.529269
